epoch,train_loss,validation_loss
1,1.0602857006904065,0.9176795761201347
2,0.8958867533543208,0.8415396434345616
3,0.8051791890478804,0.6974675483382397
4,0.7345495806140805,0.5968812416450493
5,0.662310546368374,0.5438854325597198
6,0.5763187927156914,0.5056975143501897
7,0.5386590879748699,0.45163886625427285
8,0.5063439009523534,0.43967880140868265
9,0.4737545195698627,0.418423203971973
10,0.44927167202677815,0.39777292609224923
11,0.42532804408851893,0.37364960361096256
12,0.403149959994066,0.3653388425836401
13,0.38993423127891536,0.3608188141869765
14,0.3807780282937112,0.33576691017966087
15,0.37957923123161086,0.34904522760786144
16,0.38159124034651515,0.33554413726958565
17,0.35529151421098815,0.32705310770002655
18,0.3863280489892567,0.3527304165986469
