method,target_type,metric,mechanism,mask_rate,mean,std,median,minimum,maximum,evaluation_units,masked_entries
sa_vae,categorical,macro_f1,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
sa_vae_structured,categorical,macro_f1,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
mean_mode,categorical,macro_precision,mnar,0.2,0.13472222222222222,0.09166666666666667,0.11666666666666667,0.05555555555555555,0.25,4,18
mean_mode,categorical,macro_precision,mar,0.2,0.15625,0.16878857583774245,0.125,0.0,0.375,4,23
mean_mode,categorical,macro_precision,mcar,0.2,0.15625,0.1875,0.125,0.0,0.375,4,15
plain_vae_structured,categorical,macro_precision,mnar,0.2,0.39305555555555555,0.23055555555555557,0.4027777777777778,0.16666666666666666,0.6,4,18
sa_vae_structured,categorical,macro_precision,mnar,0.2,0.39305555555555555,0.23055555555555557,0.4027777777777778,0.16666666666666666,0.6,4,18
sa_vae,categorical,macro_precision,mnar,0.2,0.5833333333333333,0.09622504486493759,0.5833333333333333,0.5,0.6666666666666666,4,18
knn,categorical,macro_precision,mnar,0.2,0.6291666666666667,0.04383259399460969,0.6333333333333333,0.5833333333333334,0.6666666666666666,4,18
plain_vae,categorical,macro_precision,mnar,0.2,0.6291666666666667,0.04383259399460969,0.6333333333333333,0.5833333333333334,0.6666666666666666,4,18
plain_vae_structured,categorical,macro_precision,mar,0.2,0.6860119047619048,0.2170987645813915,0.6220238095238095,0.5,1.0,4,23
sa_vae_structured,categorical,macro_precision,mar,0.2,0.6860119047619048,0.2170987645813915,0.6220238095238095,0.5,1.0,4,23
gradient_boosting,categorical,macro_precision,mnar,0.2,0.75,0.28867513459481287,0.75,0.5,1.0,4,18
random_forest,categorical,macro_precision,mnar,0.2,0.75,0.28867513459481287,0.75,0.5,1.0,4,18
knn,categorical,macro_precision,mar,0.2,0.8110119047619048,0.21823818485498403,0.8125,0.6190476190476191,1.0,4,23
gradient_boosting,categorical,macro_precision,mar,0.2,0.9047619047619048,0.19047619047619047,1.0,0.6190476190476191,1.0,4,23
plain_vae,categorical,macro_precision,mar,0.2,0.9047619047619048,0.19047619047619047,1.0,0.6190476190476191,1.0,4,23
random_forest,categorical,macro_precision,mar,0.2,0.9047619047619048,0.19047619047619047,1.0,0.6190476190476191,1.0,4,23
sa_vae,categorical,macro_precision,mar,0.2,0.9047619047619048,0.19047619047619047,1.0,0.6190476190476191,1.0,4,23
gradient_boosting,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
knn,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae_structured,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
random_forest,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
sa_vae,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
sa_vae_structured,categorical,macro_precision,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
mean_mode,categorical,macro_recall,mcar,0.2,0.25,0.28867513459481287,0.25,0.0,0.5,4,15
mean_mode,categorical,macro_recall,mar,0.2,0.2708333333333333,0.20833333333333334,0.29166666666666663,0.0,0.5,4,23
mean_mode,categorical,macro_recall,mnar,0.2,0.41666666666666663,0.09622504486493763,0.41666666666666663,0.3333333333333333,0.5,4,18
plain_vae_structured,categorical,macro_recall,mnar,0.2,0.49999999999999994,0.19245008972987523,0.5,0.3333333333333333,0.6666666666666666,4,18
sa_vae_structured,categorical,macro_recall,mnar,0.2,0.49999999999999994,0.19245008972987523,0.5,0.3333333333333333,0.6666666666666666,4,18
knn,categorical,macro_recall,mnar,0.2,0.5833333333333333,0.09622504486493763,0.5833333333333333,0.5,0.6666666666666666,4,18
plain_vae,categorical,macro_recall,mnar,0.2,0.5833333333333333,0.09622504486493763,0.5833333333333333,0.5,0.6666666666666666,4,18
sa_vae,categorical,macro_recall,mnar,0.2,0.5833333333333333,0.09622504486493763,0.5833333333333333,0.5,0.6666666666666666,4,18
plain_vae_structured,categorical,macro_recall,mar,0.2,0.7291666666666666,0.20833333333333334,0.7083333333333333,0.5,1.0,4,23
sa_vae_structured,categorical,macro_recall,mar,0.2,0.7291666666666666,0.20833333333333334,0.7083333333333333,0.5,1.0,4,23
gradient_boosting,categorical,macro_recall,mnar,0.2,0.8333333333333333,0.19245008972987526,0.8333333333333333,0.6666666666666666,1.0,4,18
random_forest,categorical,macro_recall,mnar,0.2,0.8333333333333333,0.19245008972987526,0.8333333333333333,0.6666666666666666,1.0,4,18
knn,categorical,macro_recall,mar,0.2,0.8541666666666666,0.1717960677340692,0.875,0.6666666666666666,1.0,4,23
gradient_boosting,categorical,macro_recall,mar,0.2,0.9166666666666666,0.16666666666666669,1.0,0.6666666666666666,1.0,4,23
plain_vae,categorical,macro_recall,mar,0.2,0.9166666666666666,0.16666666666666669,1.0,0.6666666666666666,1.0,4,23
random_forest,categorical,macro_recall,mar,0.2,0.9166666666666666,0.16666666666666669,1.0,0.6666666666666666,1.0,4,23
sa_vae,categorical,macro_recall,mar,0.2,0.9166666666666666,0.16666666666666669,1.0,0.6666666666666666,1.0,4,23
gradient_boosting,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
knn,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae_structured,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
random_forest,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
sa_vae,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
sa_vae_structured,categorical,macro_recall,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae,continuous,mae,mcar,0.2,0.5534818041254856,0.5243960723155291,0.5166871962298698,0.0867227326591197,1.0938300913830832,4,24
plain_vae_structured,continuous,mae,mcar,0.2,0.6909727660622716,0.6781024774354929,0.6591459607427328,0.0973352397313431,1.348263903032278,4,24
random_forest,continuous,mae,mcar,0.2,0.7083991760605434,0.7216126199777307,0.7113601574052328,0.06883698655452308,1.3420394028771847,4,24
knn,continuous,mae,mcar,0.2,0.7154449565849381,0.7101077301093297,0.6969301998117088,0.07363819215798369,1.3942812345583513,4,24
sa_vae_structured,continuous,mae,mcar,0.2,0.7464778767367827,0.7639410057419157,0.6502677583610118,0.09846184306202539,1.5869141471630817,4,24
gradient_boosting,continuous,mae,mcar,0.2,0.7727479952313476,0.7943320338410584,0.7029186930188264,0.07933228535674015,1.6058223095309978,4,24
sa_vae,continuous,mae,mcar,0.2,0.8746204122850041,0.9476538508727573,0.7090045077423891,0.0770272741871692,2.0034453594680692,4,24
random_forest,continuous,mae,mnar,0.2,0.8867742482826556,0.9396533491758863,0.7143249835925982,0.10978121622263126,2.0086658097227947,4,20
