epoch,train_loss,validation_loss
1,1.0785114448470683,0.9847390910102023
2,0.9414179835898027,0.8686896945262172
3,0.8233753875205294,0.7458570021457497
4,0.7418100351931567,0.6266033695698233
5,0.6464162902874998,0.5751476339892024
6,0.5826247486138112,0.542160344396539
7,0.5412236092683248,0.5134044038435794
8,0.531581563878861,0.509165212345429
9,0.49124189552857156,0.47156369387329566
10,0.4702963194859596,0.4268134618446744
11,0.4517504655542011,0.43000026027600485
12,0.42540208342391644,0.4100067406684647
13,0.41501941102079365,0.3714132394214855
14,0.3943169355764568,0.38228592962491537
15,0.3906281926247203,0.3548876762714572
16,0.38716300049599955,0.3401374806244713
17,0.3575110441226603,0.3442375253604039
18,0.3783634200391347,0.3577162539788332
